0,1,2
54.0,138.0,1.0
50.0,119.0,1.0
57.0,132.0,1.0
58.0,192.0,1.0
50.0,179.0,1.0
58.0,148.0,1.0
56.0,114.0,1.0
51.0,196.0,1.0
51.0,112.0,1.0
59.0,129.0,1.0
56.0,160.0,1.0
56.0,188.0,1.0
57.0,140.0,1.0
50.0,139.0,1.0
59.0,125.0,1.0
58.0,171.0,1.0
59.0,162.0,1.0
56.0,151.0,1.0
58.0,141.0,1.0
51.0,166.0,1.0
55.0,192.0,1.0
58.0,200.0,1.0
52.0,147.0,1.0
56.0,137.0,1.0
58.0,134.0,1.0
55.0,177.0,1.0
57.0,172.0,1.0
56.0,162.0,1.0
57.0,139.0,1.0
56.0,199.0,1.0
54.0,111.0,1.0
51.0,131.0,1.0
51.0,152.0,1.0
58.0,158.0,1.0
54.0,125.0,1.0
55.0,145.0,1.0
57.0,119.0,1.0
54.0,117.0,1.0
52.0,169.0,1.0
59.0,126.0,1.0
56.0,197.0,1.0
59.0,179.0,1.0
54.0,168.0,1.0
54.0,124.0,1.0
53.0,191.0,1.0
50.0,160.0,1.0
56.0,172.0,1.0
52.0,130.0,1.0
58.0,168.0,1.0
52.0,162.0,1.0
58.0,139.0,1.0
51.0,107.0,1.0
59.0,160.0,1.0
50.0,131.0,1.0
51.0,139.0,1.0
57.0,186.0,1.0
54.0,157.0,1.0
51.0,127.0,1.0
50.0,169.0,1.0
52.0,156.0,1.0
57.0,162.0,1.0
53.0,193.0,1.0
56.0,102.0,1.0
50.0,185.0,1.0
58.0,148.0,1.0
53.0,126.0,1.0
52.0,155.0,1.0
56.0,102.0,1.0
50.0,179.0,1.0
56.0,143.0,1.0
55.0,189.0,1.0
50.0,200.0,1.0
57.0,111.0,1.0
54.0,124.0,1.0
58.0,184.0,1.0
56.0,165.0,1.0
58.0,151.0,1.0
57.0,176.0,1.0
54.0,133.0,1.0
58.0,112.0,1.0
58.0,165.0,1.0
57.0,180.0,1.0
58.0,129.0,1.0
53.0,164.0,1.0
59.0,120.0,1.0
57.0,120.0,1.0
50.0,101.0,1.0
50.0,180.0,1.0
57.0,192.0,1.0
50.0,108.0,1.0
51.0,141.0,1.0
51.0,101.0,1.0
54.0,181.0,1.0
50.0,108.0,1.0
50.0,160.0,1.0
54.0,147.0,1.0
50.0,181.0,1.0
51.0,128.0,1.0
59.0,169.0,1.0
53.0,105.0,1.0
50.0,111.0,1.0
54.0,127.0,1.0
57.0,184.0,1.0
50.0,148.0,1.0
55.0,101.0,1.0
52.0,155.0,1.0
58.0,176.0,1.0
56.0,161.0,1.0
58.0,196.0,1.0
56.0,184.0,1.0
51.0,115.0,1.0
50.0,124.0,1.0
54.0,179.0,1.0
52.0,118.0,1.0
57.0,181.0,1.0
52.0,108.0,1.0
53.0,149.0,1.0
55.0,122.0,1.0
55.0,130.0,1.0
50.0,103.0,1.0
55.0,109.0,1.0
55.0,180.0,1.0
58.0,187.0,1.0
57.0,147.0,1.0
53.0,139.0,1.0
56.0,156.0,1.0
55.0,167.0,1.0
59.0,154.0,1.0
56.0,117.0,1.0
53.0,187.0,1.0
51.0,135.0,1.0
50.0,112.0,1.0
51.0,158.0,1.0
51.0,115.0,1.0
52.0,144.0,1.0
56.0,178.0,1.0
56.0,124.0,1.0
57.0,159.0,1.0
53.0,193.0,1.0
53.0,187.0,1.0
51.0,155.0,1.0
50.0,167.0,1.0
55.0,143.0,1.0
55.0,193.0,1.0
59.0,111.0,1.0
50.0,147.0,1.0
57.0,130.0,1.0
58.0,121.0,1.0
59.0,123.0,1.0
59.0,199.0,1.0
51.0,118.0,1.0
56.0,101.0,1.0
52.0,191.0,1.0
58.0,141.0,1.0
54.0,183.0,1.0
53.0,165.0,1.0
57.0,177.0,1.0
56.0,172.0,1.0
52.0,191.0,1.0
51.0,190.0,1.0
51.0,102.0,1.0
59.0,176.0,1.0
59.0,180.0,1.0
56.0,110.0,1.0
58.0,124.0,1.0
51.0,118.0,1.0
51.0,125.0,1.0
58.0,153.0,1.0
52.0,136.0,1.0
56.0,143.0,1.0
59.0,117.0,1.0
55.0,171.0,1.0
56.0,168.0,1.0
54.0,170.0,1.0
54.0,199.0,1.0
51.0,174.0,1.0
50.0,105.0,1.0
56.0,122.0,1.0
53.0,118.0,1.0
52.0,184.0,1.0
53.0,138.0,1.0
53.0,118.0,1.0
52.0,117.0,1.0
52.0,162.0,1.0
51.0,197.0,1.0
57.0,168.0,1.0
52.0,178.0,1.0
54.0,121.0,1.0
54.0,144.0,1.0
55.0,128.0,1.0
50.0,110.0,1.0
53.0,117.0,1.0
58.0,175.0,1.0
59.0,190.0,1.0
51.0,155.0,1.0
55.0,106.0,1.0
57.0,138.0,1.0
50.0,111.0,1.0
50.0,185.0,1.0
54.0,139.0,1.0
57.0,123.0,1.0
57.0,179.0,1.0
50.0,168.0,1.0
54.0,178.0,1.0
51.0,136.0,1.0
56.0,151.0,1.0
59.0,116.0,1.0
59.0,104.0,1.0
57.0,101.0,1.0
55.0,157.0,1.0
53.0,112.0,1.0
51.0,161.0,1.0
50.0,191.0,1.0
52.0,110.0,1.0
53.0,116.0,1.0
50.0,125.0,1.0
56.0,140.0,1.0
57.0,106.0,1.0
55.0,188.0,1.0
55.0,133.0,1.0
59.0,135.0,1.0
51.0,120.0,1.0
55.0,176.0,1.0
50.0,192.0,1.0
56.0,142.0,1.0
59.0,196.0,1.0
56.0,183.0,1.0
53.0,145.0,1.0
50.0,157.0,1.0
50.0,193.0,1.0
58.0,187.0,1.0
52.0,129.0,1.0
59.0,192.0,1.0
56.0,112.0,1.0
50.0,170.0,1.0
58.0,172.0,1.0
53.0,126.0,1.0
51.0,191.0,1.0
59.0,153.0,1.0
54.0,198.0,1.0
58.0,144.0,1.0
59.0,131.0,1.0
54.0,157.0,1.0
53.0,110.0,1.0
54.0,110.0,1.0
57.0,169.0,1.0
50.0,190.0,1.0
51.0,133.0,1.0
51.0,139.0,1.0
55.0,178.0,1.0
52.0,135.0,1.0
56.0,179.0,1.0
57.0,150.0,1.0
54.0,165.0,1.0
53.0,176.0,1.0
58.0,105.0,1.0
57.0,175.0,1.0
54.0,167.0,1.0
54.0,157.0,1.0
50.0,181.0,1.0
56.0,160.0,1.0
54.0,197.0,1.0
58.0,117.0,1.0
53.0,199.0,1.0
55.0,121.0,1.0
52.0,186.0,1.0
52.0,167.0,1.0
54.0,123.0,1.0
51.0,192.0,1.0
55.0,187.0,1.0
57.0,189.0,1.0
56.0,182.0,1.0
57.0,129.0,1.0
50.0,169.0,1.0
51.0,143.0,1.0
56.0,177.0,1.0
55.0,183.0,1.0
57.0,107.0,1.0
52.0,184.0,1.0
53.0,158.0,1.0
55.0,161.0,1.0
55.0,113.0,1.0
57.0,162.0,1.0
54.0,173.0,1.0
51.0,128.0,1.0
51.0,112.0,1.0
58.0,135.0,1.0
54.0,139.0,1.0
50.0,141.0,1.0
51.0,138.0,1.0
55.0,160.0,1.0
55.0,148.0,1.0
57.0,157.0,1.0
54.0,185.0,1.0
59.0,132.0,1.0
53.0,175.0,1.0
59.0,171.0,1.0
56.0,178.0,1.0
52.0,184.0,1.0
55.0,178.0,1.0
54.0,188.0,1.0
53.0,133.0,1.0
54.0,195.0,1.0
50.0,128.0,1.0
55.0,166.0,1.0
52.0,123.0,1.0
58.0,164.0,1.0
59.0,181.0,1.0
55.0,146.0,1.0
53.0,153.0,1.0
58.0,169.0,1.0
50.0,101.0,1.0
55.0,185.0,1.0
57.0,172.0,1.0
52.0,146.0,1.0
50.0,190.0,1.0
56.0,104.0,1.0
51.0,117.0,1.0
55.0,156.0,1.0
58.0,134.0,1.0
55.0,129.0,1.0
50.0,152.0,1.0
57.0,103.0,1.0
53.0,185.0,1.0
50.0,113.0,1.0
57.0,197.0,1.0
54.0,183.0,1.0
58.0,162.0,1.0
53.0,147.0,1.0
51.0,180.0,1.0
55.0,177.0,1.0
59.0,107.0,1.0
58.0,101.0,1.0
54.0,196.0,1.0
59.0,190.0,1.0
51.0,133.0,1.0
54.0,161.0,1.0
53.0,130.0,1.0
53.0,199.0,1.0
57.0,104.0,1.0
53.0,134.0,1.0
59.0,165.0,1.0
55.0,144.0,1.0
59.0,125.0,1.0
53.0,102.0,1.0
53.0,151.0,1.0
51.0,106.0,1.0
59.0,157.0,1.0
52.0,160.0,1.0
52.0,113.0,1.0
59.0,149.0,1.0
56.0,111.0,1.0
50.0,118.0,1.0
51.0,107.0,1.0
59.0,189.0,1.0
54.0,109.0,1.0
53.0,161.0,1.0
58.0,121.0,1.0
50.0,126.0,1.0
51.0,161.0,1.0
52.0,176.0,1.0
52.0,137.0,1.0
52.0,199.0,1.0
55.0,131.0,1.0
53.0,168.0,1.0
57.0,144.0,1.0
53.0,108.0,1.0
58.0,170.0,1.0
54.0,165.0,1.0
58.0,193.0,1.0
55.0,106.0,1.0
59.0,120.0,1.0
53.0,117.0,1.0
51.0,162.0,1.0
52.0,196.0,1.0
57.0,139.0,1.0
52.0,109.0,1.0
59.0,157.0,1.0
58.0,190.0,1.0
50.0,127.0,1.0
59.0,167.0,1.0
58.0,198.0,1.0
54.0,156.0,1.0
52.0,188.0,1.0
51.0,151.0,1.0
55.0,144.0,1.0
57.0,192.0,1.0
52.0,148.0,1.0
59.0,164.0,1.0
50.0,161.0,1.0
54.0,190.0,1.0
53.0,128.0,1.0
57.0,181.0,1.0
53.0,106.0,1.0
58.0,155.0,1.0
53.0,189.0,1.0
51.0,107.0,1.0
50.0,107.0,1.0
59.0,101.0,1.0
57.0,129.0,1.0
57.0,198.0,1.0
50.0,156.0,1.0
51.0,152.0,1.0
58.0,138.0,1.0
52.0,138.0,1.0
55.0,199.0,1.0
53.0,105.0,1.0
55.0,102.0,1.0
54.0,103.0,1.0
54.0,183.0,1.0
51.0,167.0,1.0
54.0,147.0,1.0
56.0,130.0,1.0
55.0,167.0,1.0
54.0,170.0,1.0
53.0,171.0,1.0
50.0,111.0,1.0
53.0,118.0,1.0
56.0,101.0,1.0
55.0,118.0,1.0
55.0,118.0,1.0
52.0,189.0,1.0
53.0,137.0,1.0
51.0,161.0,1.0
54.0,122.0,1.0
54.0,162.0,1.0
57.0,114.0,1.0
53.0,173.0,1.0
56.0,174.0,1.0
58.0,107.0,1.0
52.0,135.0,1.0
59.0,174.0,1.0
54.0,117.0,1.0
57.0,102.0,1.0
50.0,170.0,1.0
54.0,168.0,1.0
53.0,144.0,1.0
50.0,190.0,1.0
54.0,166.0,1.0
50.0,184.0,1.0
57.0,124.0,1.0
52.0,194.0,1.0
59.0,146.0,1.0
58.0,185.0,1.0
52.0,195.0,1.0
55.0,101.0,1.0
54.0,183.0,1.0
54.0,137.0,1.0
51.0,162.0,1.0
54.0,168.0,1.0
50.0,190.0,1.0
55.0,196.0,1.0
57.0,199.0,1.0
51.0,143.0,1.0
58.0,162.0,1.0
55.0,156.0,1.0
50.0,128.0,1.0
51.0,191.0,1.0
53.0,157.0,1.0
56.0,175.0,1.0
56.0,153.0,1.0
51.0,136.0,1.0
54.0,103.0,1.0
52.0,160.0,1.0
54.0,147.0,1.0
57.0,116.0,1.0
52.0,165.0,1.0
50.0,168.0,1.0
50.0,178.0,1.0
51.0,196.0,1.0
54.0,144.0,1.0
55.0,172.0,1.0
57.0,121.0,1.0
57.0,196.0,1.0
54.0,124.0,1.0
56.0,184.0,1.0
51.0,188.0,1.0
54.0,130.0,1.0
54.0,199.0,1.0
55.0,184.0,1.0
52.0,177.0,1.0
59.0,144.0,1.0
59.0,106.0,1.0
50.0,172.0,1.0
56.0,193.0,1.0
50.0,168.0,1.0
56.0,175.0,1.0
58.0,125.0,1.0
56.0,164.0,1.0
59.0,141.0,1.0
58.0,109.0,1.0
51.0,182.0,1.0
57.0,186.0,1.0
54.0,105.0,1.0
51.0,190.0,1.0
52.0,141.0,1.0
50.0,110.0,1.0
58.0,162.0,1.0
53.0,168.0,1.0
57.0,152.0,1.0
89.0,195.0,1.0
70.0,191.0,1.0
64.0,197.0,1.0
61.0,200.0,1.0
79.0,200.0,1.0
93.0,192.0,1.0
91.0,191.0,1.0
88.0,197.0,1.0
98.0,194.0,1.0
78.0,193.0,1.0
100.0,191.0,1.0
79.0,197.0,1.0
73.0,200.0,1.0
89.0,194.0,1.0
71.0,197.0,1.0
61.0,196.0,1.0
91.0,196.0,1.0
76.0,190.0,1.0
98.0,198.0,1.0
70.0,195.0,1.0
92.0,199.0,1.0
97.0,197.0,1.0
76.0,192.0,1.0
94.0,196.0,1.0
74.0,193.0,1.0
93.0,198.0,1.0
94.0,194.0,1.0
